TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2020,2,11,3,27,20XX COMMERCIAL DR,Grandview-Woodland,503658,5342344
Break and Enter Commercial,2010,12,17,3,26,20XX W 12TH AVE,Kitsilano,495104,5347082
Vehicle Collision or Pedestrian Struck (with Injury),2011,4,18,3,26,ABBOTT ST / W HASTINGS ST,Central Business District,508772,5134751
Break and Enter Commercial,2019,2,18,3,25,20XX MACDONALD ST,Kitsilano,491324,5397012
Vehicle Collision or Pedestrian Struck (with Fatality),2004,5,3,3,25,52XX BLOCK GRANVILLE ST,Shaughnessy,507922,5151962
Break and Enter Commercial,2014,2,13,3,25,6X E CORDOVA ST,Central Business District,497615,5368225
Break and Enter Residential/Other,2003,6,1,3,24,11XX BEACH AVE,West End,504779,5015167
Mischief,2017,9,12,3,24,10XX BEACH AVE,Central Business District,509530,5453339
Mischief,2017,10,20,3,24,10XX BURRARD ST,West End,509533,5072169
Mischief,2008,3,2,3,24,10XX BURRARD ST,Central Business District,500150,5445804
Mischief,2015,4,29,3,24,10XX ALBERNI ST,West End,500255,5309342
Break and Enter Commercial,2012,4,7,3,24,20XX COMMERCIAL DR,Grandview-Woodland,500092,5221205
Break and Enter Commercial,2018,3,2,3,23,10XX BROUGHTON ST,West End,499644,5457014
Mischief,2007,12,29,3,23,10XX BURRARD ST,West End,502163,5381845
Vehicle Collision or Pedestrian Struck (with Injury),2009,1,25,3,23,8XX PACIFIC BLVD,Central Business District,492942,5116070
Break and Enter Commercial,2012,12,5,3,22,20XX COMOX ST,West End,507268,5110652
Break and Enter Residential/Other,2003,12,9,3,22,11XX BIDWELL ST,West End,510249,5293586
Break and Enter Commercial,2003,10,8,3,20,20XX W 41ST AVE,Shaughnessy,497813,5168422
Break and Enter Commercial,2019,11,7,3,20,10XX BURNABY ST,West End,509143,5341481
Break and Enter Commercial,2017,3,25,3,19,10XX BURNABY ST,West End,505401,5131692
Other Theft,2013,6,23,3,16,12XX GRANVILLE ST,Central Business District,503297,5051215
Theft from Vehicle,2013,5,2,3,15,13XX W 10TH AVE,Fairview,494070,5030778
Vehicle Collision or Pedestrian Struck (with Injury),2009,11,26,3,15,9XX BLOCK GRANVILLE ST,Central Business District,494352,5014374
Break and Enter Commercial,2010,7,10,3,15,67XX ALBERTA ST,Oakridge,507947,5207361
Mischief,2005,1,8,3,14,19XX TRUTCH ST,Kitsilano,497312,5447252
Break and Enter Commercial,2013,7,18,3,14,10XX BROUGHTON ST,West End,504961,5013819
Vehicle Collision or Pedestrian Struck (with Fatality),2009,8,8,3,13,37XX BLOCK ARBUTUS ST,Arbutus Ridge,490410,5181560
Break and Enter Commercial,2016,7,6,3,13,10XX BARCLAY ST,West End,502258,5327665
Mischief,2016,7,6,3,13,10XX BARCLAY ST,West End,491077,5227886
Break and Enter Commercial,2010,11,6,3,12,10XX BEACH AVE,Central Business District,501878,5436307
Break and Enter Commercial,2008,8,14,3,12,68XX VICTORIA DR,Victoria-Fraserview,500948,5015653
Vehicle Collision or Pedestrian Struck (with Injury),2017,10,7,3,11,ABBOTT ST / W PENDER ST,Central Business District,503284,5266407
Break and Enter Residential/Other,2005,7,3,3,10,11XX CARDERO ST,West End,503589,5235737
Vehicle Collision or Pedestrian Struck (with Fatality),2005,4,16,3,10,28XX BLOCK HEMLOCK ST,Fairview,501703,5178719
Vehicle Collision or Pedestrian Struck (with Fatality),2004,5,1,3,10,RICHARDS ST / SMITHE ST,Central Business District,493122,5195695
Vehicle Collision or Pedestrian Struck (with Injury),2005,3,6,3,10,8XX GRIFFITHS WAY,Central Business District,500867,5359511
Break and Enter Commercial,2005,11,14,3,9,10XX ALBERNI ST,West End,510736,5292407
Mischief,2010,11,9,3,9,10XX ALBERNI ST,West End,511074,5066381
Vehicle Collision or Pedestrian Struck (with Injury),2003,10,26,3,8,8XX SEYMOUR ST,Central Business District,509526,5068744
Break and Enter Commercial,2012,8,7,3,8,14XX E 41ST AVE,Kensington-Cedar Cottage,491089,5433078
Vehicle Collision or Pedestrian Struck (with Fatality),2011,6,26,3,7,MAIN ST / E HASTINGS ST,Central Business District,505709,5053628
Other Theft,2013,3,10,3,6,12XX GRANVILLE ST,Central Business District,499624,5214999
Mischief,2013,11,8,3,6,10XX ALBERNI ST,West End,509280,5388383
Break and Enter Commercial,2003,5,27,3,5,20XX W 42ND AVE,Kerrisdale,490920,5453624
Theft from Vehicle,2019,1,19,3,5,13XX W 37TH AVE,Shaughnessy,490626,5306311
Other Theft,2019,1,6,3,5,12XX GRANVILLE ST,Central Business District,498388,5183125
Mischief,2013,3,29,3,5,10XX BARCLAY ST,West End,495641,5154649
Break and Enter Commercial,2013,12,11,3,5,6X W 2ND AVE,Mount Pleasant,500941,5160403
Break and Enter Residential/Other,2012,4,10,3,5,11XX E 10TH AVE,Mount Pleasant,504083,5134283
Break and Enter Commercial,2019,10,19,3,5,14XX E BROADWAY AVE,Grandview-Woodland,506787,5105104
Break and Enter Commercial,2014,1,31,3,3,20XX W 41ST AVE,Kerrisdale,507261,5115858
Mischief,2003,1,5,3,3,10XX BURNABY ST,West End,494546,5129864
Vehicle Collision or Pedestrian Struck (with Injury),2004,2,2,3,3,9XX BLOCK PACIFIC BLVD,Central Business District,507822,5163318
Break and Enter Commercial,2004,3,17,3,3,14XX E HASTINGS ST,Grandview-Woodland,499126,5434839
Break and Enter Commercial,2012,4,10,3,2,2XX E GEORGIA ST,Strathcona,507920,5231693
Mischief,2014,9,24,3,1,10XX BROUGHTON ST,West End,494161,5439946
Theft of Vehicle,2019,2,26,3,1,E 1ST AVE / VICTORIA DR,Grandview-Woodland,503235,5307966
Break and Enter Commercial,2010,2,16,3,0,20XX W 11TH AVE,Kitsilano,509660,5440187
Mischief,2005,4,3,3,0,19XX W 17TH AVE,Shaughnessy,492866,5252669
Break and Enter Residential/Other,2018,11,4,3,0,11XX CYPRESS ST,Kitsilano,495659,5309408
Theft from Vehicle,2005,8,31,3,0,13XX W 47TH AVE,Oakridge,501823,5339498
Theft from Vehicle,2007,6,1,3,0,13XX W 15TH AVE,Shaughnessy,508640,5443354
Break and Enter Commercial,2004,12,15,3,0,10XX BEACH AVE,Central Business District,495336,5448449
Theft from Vehicle,2003,9,23,3,0,13XX SHOREPINE WALK,Fairview,506029,5437920
Theft from Vehicle,2005,9,15,3,0,13XX ROBSON ST,West End,507991,5335160
Break and Enter Residential/Other,2010,4,10,3,0,10XX WOLFE AVE,Shaughnessy,500467,5117719
Theft from Vehicle,2014,9,11,3,0,13XX SEYMOUR ST,Central Business District,502738,5366063
Break and Enter Residential/Other,2013,6,16,3,0,11XX BARCLAY ST,West End,496094,5316023
Break and Enter Residential/Other,2010,5,1,3,0,11XX BARCLAY ST,West End,510422,5378410
Break and Enter Residential/Other,2017,4,30,3,0,11XX BARCLAY ST,West End,508260,5116285
Break and Enter Commercial,2007,5,6,3,0,10XX ALBERNI ST,West End,506842,5232406
Break and Enter Commercial,2016,9,17,3,0,10XX ALBERNI ST,West End,494410,5360273
Vehicle Collision or Pedestrian Struck (with Injury),2004,11,14,3,0,8XX BLOCK GRANVILLE ST,Central Business District,493081,5304330
Vehicle Collision or Pedestrian Struck (with Injury),2007,11,3,3,0,ABBOTT ST / W PENDER ST,Central Business District,500329,5289400
Break and Enter Commercial,2017,8,9,3,0,6X W 2ND AVE,Mount Pleasant,493273,5056353
Theft of Bicycle,2012,9,15,3,0,E PENDER ST / MAIN ST,Strathcona,500405,5314384
Theft of Vehicle,2016,2,19,3,0,E 26TH AVE / SOPHIA ST,Riley Park,511127,5278430
Break and Enter Commercial,2009,10,27,3,0,20XX SCOTIA ST,Mount Pleasant,500710,5048905
Theft of Bicycle,2009,7,1,3,0,E 57TH AVE / FRASER ST,Sunset,498707,5213167
Theft of Vehicle,2004,10,28,3,0,E 12TH AVE / FRASER ST,Mount Pleasant,503651,5352440
Break and Enter Residential/Other,2006,3,16,3,0,11XX E 27TH AVE,Kensington-Cedar Cottage,490480,5025407
Other Theft,2007,7,24,3,0,13XX E 41ST AVE,Sunset,497048,5382378
Break and Enter Commercial,2014,9,10,3,0,20XX COMMERCIAL DR,Grandview-Woodland,502987,5281556
Break and Enter Commercial,2016,1,12,3,0,14XX COMMERCIAL DR,Grandview-Woodland,498577,5169091
Break and Enter Commercial,2006,2,16,3,0,69XX VICTORIA DR,Victoria-Fraserview,510687,5321317
Break and Enter Commercial,2004,8,20,3,0,69XX VICTORIA DR,Victoria-Fraserview,508072,5367851
Vehicle Collision or Pedestrian Struck (with Fatality),2012,2,10,3,0,30XX BLOCK E HASTINGS ST,Hastings-Sunrise,505514,5213203
Break and Enter Commercial,2010,8,7,3,0,20XX RUPERT ST,Hastings-Sunrise,503733,5333810
Other Theft,2014,12,29,4,59,12XX ROBSON ST,West End,499009,5126239
Break and Enter Commercial,2016,10,5,4,56,10XX BURNABY ST,West End,501336,5094167
Mischief,2016,10,5,4,56,10XX BURNABY ST,West End,497770,5002545
Mischief,2014,6,26,4,56,10XX BURRARD ST,West End,493917,5263433
Break and Enter Commercial,2007,9,19,4,55,20XX W 12TH AVE,Kitsilano,494007,5359766
Break and Enter Commercial,2016,7,7,4,54,20XX W 12TH AVE,Kitsilano,493018,5279052
Vehicle Collision or Pedestrian Struck (with Injury),2018,2,2,4,54,ABBOTT ST / W PENDER ST,Central Business District,497109,5331869
Break and Enter Commercial,2010,5,22,4,54,66XX MAIN ST,Sunset,499191,5105245
Break and Enter Commercial,2005,11,25,4,54,14XX E GEORGIA ST,Grandview-Woodland,507263,5323603
Theft of Bicycle,2013,2,5,4,53,E HASTINGS ST / GORE AVE,Strathcona,493397,5016650
Theft from Vehicle,2008,8,9,4,53,13XX VERNON DR,Strathcona,502800,5036465
Mischief,2013,12,1,4,52,10XX BEACH AVE,West End,493667,5227095
Break and Enter Commercial,2019,8,27,4,52,6X W 6TH AVE,Mount Pleasant,497617,5193249
Break and Enter Commercial,2016,4,18,4,52,14XX E 8TH AVE,Grandview-Woodland,508804,5110892
Break and Enter Commercial,2014,10,8,4,51,20XX W 41ST AVE,Kerrisdale,491412,5384567
Mischief,2009,8,16,4,51,19XX W 6TH AVE,Kitsilano,508762,5344167
Break and Enter Residential/Other,2017,7,7,4,51,11XX E 14TH AVE,Mount Pleasant,501493,5091788
Break and Enter Commercial,2008,9,6,4,50,20XX W 41ST AVE,Shaughnessy,507395,5148697
Mischief,2006,3,25,4,50,10XX BROUGHTON ST,West End,492756,5110907
Break and Enter Commercial,2006,5,21,4,50,10XX ALBERNI ST,West End,495392,5084529
Mischief,2006,10,22,4,49,10XX BEACH AVE,West End,492843,5364179
Break and Enter Residential/Other,2019,5,2,4,49,11XX E BROADWAY AVE,Mount Pleasant,499187,5208307
Break and Enter Commercial,2018,1,19,4,48,20XX COMOX ST,West End,494789,5316459
Vehicle Collision or Pedestrian Struck (with Fatality),2007,9,15,4,48,19XX GRANVILLE STREET BRDG,Fairview,503069,5137319
Break and Enter Commercial,2007,1,16,4,48,10XX ALBERNI ST,West End,507206,5260250
Break and Enter Commercial,2004,9,25,4,47,17XX W 7TH AVE,Fairview,495627,5430499
Break and Enter Commercial,2011,2,9,4,47,10XX ALBERNI ST,West End,493051,5411864
Mischief,2003,12,20,4,46,10XX ALBERNI ST,West End,509562,5375337
Break and Enter Commercial,2014,8,23,4,46,20XX DUNDAS ST,Grandview-Woodland,493887,5082607
Break and Enter Residential/Other,2006,5,9,4,45,11XX BEACH AVE,West End,490597,5372292
Break and Enter Commercial,2014,8,22,4,45,10XX BURNABY ST,West End,492342,5393063
Break and Enter Commercial,2003,4,8,4,45,10XX BURNABY ST,West End,490590,5326440
Vehicle Collision or Pedestrian Struck (with Injury),2015,11,6,4,45,9XX BLOCK GRANVILLE ST,Central Business District,499745,5123844
Break and Enter Commercial,2006,12,9,4,45,6X W 7TH AVE,Mount Pleasant,490119,5415439
Break and Enter Commercial,2011,4,16,4,45,6X POWELL ST,Central Business District,497752,5384105
Break and Enter Commercial,2015,5,22,4,45,2XX E BROADWAY AVE,Mount Pleasant,503678,5236362
Vehicle Collision or Pedestrian Struck (with Fatality),2003,9,3,4,45,77XX BLOCK KNIGHT ST,Victoria-Fraserview,497905,5410742
Break and Enter Commercial,2004,8,26,4,45,66XX VICTORIA DR,Victoria-Fraserview,497506,5062381
Theft of Vehicle,2007,11,8,4,44,E 21ST AVE / SLOCAN ST,Renfrew-Collingwood,502444,5346249
Break and Enter Commercial,2003,3,9,4,42,17XX W 8TH AVE,Fairview,505013,5301234
Break and Enter Residential/Other,2006,8,11,4,42,11XX BEACH AVE,West End,503084,5166885
Break and Enter Commercial,2016,2,16,4,41,10XX ALBERNI ST,West End,500732,5104965
Vehicle Collision or Pedestrian Struck (with Injury),2004,8,21,4,40,8XX W 57TH AVE,Marpole,508140,5118465
Break and Enter Commercial,2016,10,3,4,40,6X KEEFER PL,Central Business District,502499,5412112
Break and Enter Commercial,2019,7,5,4,40,2XX E GEORGIA ST,Strathcona,499178,5185500
Break and Enter Commercial,2011,5,3,4,40,2XX E CORDOVA ST,Strathcona,499974,5457241
Break and Enter Commercial,2019,10,27,4,40,14XX E HASTINGS ST,Grandview-Woodland,498761,5333953
Break and Enter Commercial,2006,3,14,4,40,20XX KINGSWAY AVE,Kensington-Cedar Cottage,506112,5250277
Break and Enter Commercial,2011,7,15,4,39,6X E CORDOVA ST,Central Business District,498111,5123058
Break and Enter Commercial,2012,4,1,4,38,10XX BEACH AVE,West End,493507,5341229
Other Theft,2014,12,22,4,38,12XX GRANVILLE ST,Central Business District,507609,5029998
Break and Enter Commercial,2019,12,18,4,38,66XX FRASER ST,Sunset,506741,5211415
Break and Enter Commercial,2019,10,26,4,38,14XX E BROADWAY AVE,Grandview-Woodland,500420,5415146
Break and Enter Residential/Other,2005,10,19,4,37,11XX BARCLAY ST,West End,505054,5189911
Break and Enter Commercial,2018,1,10,4,37,6X KEEFER PL,Central Business District,502708,5399422
Break and Enter Commercial,2006,1,30,4,37,14XX E 41ST AVE,Kensington-Cedar Cottage,510373,5318660
Break and Enter Commercial,2007,8,26,4,36,20XX TRAFALGAR ST,Kitsilano,490804,5398382
Vehicle Collision or Pedestrian Struck (with Injury),2010,9,26,4,36,ABBOTT ST / W PENDER ST,Central Business District,495353,5069629
Break and Enter Commercial,2014,11,23,4,36,14XX E 1ST AVE,Grandview-Woodland,504791,5018983
Break and Enter Residential/Other,2007,7,27,4,33,11XX COMOX ST,West End,503948,5284007
Break and Enter Residential/Other,2015,11,18,4,33,11XX BARCLAY ST,West End,500877,5183021
Break and Enter Commercial,2016,8,19,4,33,14XX E 3RD AVE,Grandview-Woodland,499810,5449607
Vehicle Collision or Pedestrian Struck (with Fatality),2016,4,17,4,32,69XX BLOCK HEATHER ST,Oakridge,500253,5423860
Vehicle Collision or Pedestrian Struck (with Fatality),2012,4,24,4,32,CASSIAR ST / DUNDAS ST,Hastings-Sunrise,506461,5208323
Break and Enter Commercial,2017,5,31,4,31,14XX E 7TH AVE,Grandview-Woodland,505726,5120984
Break and Enter Commercial,2012,10,4,4,30,20XX W 41ST AVE,Shaughnessy,492569,5296278
Theft from Vehicle,2009,1,16,4,30,13XX W 45TH AVE,Oakridge,503884,5392749
Break and Enter Residential/Other,2003,7,5,4,30,11XX BEACH AVE,West End,492494,5391475
Break and Enter Residential/Other,2005,3,23,4,30,11XX BROUGHTON ST,West End,506586,5348303
Break and Enter Commercial,2004,8,13,4,30,14XX COMOX ST,West End,508373,5003017
Break and Enter Commercial,2019,6,10,4,30,10XX BEACH AVE,Central Business District,506049,5333847
Break and Enter Commercial,2011,5,15,4,30,10XX BEACH AVE,Central Business District,506578,5456818
Break and Enter Commercial,2019,12,16,4,30,10XX BEACH AVE,Central Business District,495640,5105360
Break and Enter Residential/Other,2005,6,19,4,30,11XX DAVIE ST,West End,494001,5241263
Mischief,2004,5,7,4,30,10XX BURNABY ST,West End,498981,5004558
Other Theft,2004,1,5,4,30,12XX GRANVILLE ST,Central Business District,495449,5312592
Mischief,2004,7,3,4,30,,Central Business District,510683,5318642
Theft of Vehicle,2009,10,17,4,30,E 1ST AVE / QUEBEC ST,Mount Pleasant,490361,5348825
Break and Enter Commercial,2016,11,3,4,30,20XX SCOTIA ST,Mount Pleasant,509842,5214061
Break and Enter Residential/Other,2004,2,10,4,30,11XX E 18TH AVE,Kensington-Cedar Cottage,504220,5311744
Break and Enter Residential/Other,2016,3,5,4,30,11XX E HASTINGS ST,Strathcona,500564,5377152
Break and Enter Commercial,2013,2,15,4,30,14XX E BROADWAY AVE,Grandview-Woodland,508255,5449339
Break and Enter Commercial,2004,7,22,4,30,20XX COMMERCIAL DR,Grandview-Woodland,505345,5395887
Break and Enter Commercial,2003,1,28,4,30,14XX COMMERCIAL DR,Grandview-Woodland,509592,5020107
Break and Enter Commercial,2016,4,8,4,30,69XX VICTORIA DR,Victoria-Fraserview,498119,5016413
Break and Enter Commercial,2003,3,25,4,30,20XX E HASTINGS ST,Grandview-Woodland,510716,5103581
Break and Enter Commercial,2019,9,14,4,30,20XX DUNDAS ST,Grandview-Woodland,500990,5143918
Mischief,2005,4,21,4,29,10XX BURRARD ST,West End,507949,5238552
Mischief,2017,2,5,4,29,10XX BURRARD ST,Central Business District,500622,5124708
Break and Enter Residential/Other,2007,5,11,4,29,11XX E PENDER ST,Strathcona,509480,5026899
Vehicle Collision or Pedestrian Struck (with Fatality),2011,1,16,4,28,25XX BLOCK MACDONALD ST,Kitsilano,499774,5450704
Break and Enter Commercial,2016,4,17,4,28,14XX E 7TH AVE,Grandview-Woodland,499245,5104365
Break and Enter Commercial,2014,9,7,4,28,20XX DUNDAS ST,Grandview-Woodland,500526,5278124
Vehicle Collision or Pedestrian Struck (with Fatality),2018,8,24,4,25,W 33RD AVE / ARBUTUS ST,Arbutus Ridge,508667,5419167
Break and Enter Commercial,2004,8,25,4,25,10XX BARCLAY ST,West End,491016,5385502
Break and Enter Commercial,2012,8,15,4,25,66XX MAIN ST,Sunset,502571,5349319
Vehicle Collision or Pedestrian Struck (with Fatality),2004,10,24,4,25,83XX BLOCK MATHESON CRES,Killarney,500593,5431655
Mischief,2015,11,28,4,23,10XX BURRARD ST,West End,503410,5216593
Break and Enter Commercial,2005,1,23,4,23,66XX MAIN ST,Sunset,497102,5337084
Mischief,2008,2,25,4,22,19XX W 1ST AVE,Kitsilano,506296,5079705
Break and Enter Residential/Other,2010,5,2,4,21,11XX ALBERNI ST,West End,504495,5031619
Break and Enter Commercial,2006,2,4,4,21,69XX VICTORIA DR,Victoria-Fraserview,507958,5137730
Break and Enter Commercial,2008,8,4,4,20,20XX W 41ST AVE,Kerrisdale,510660,5302647
Theft from Vehicle,2017,5,17,4,20,13XX W 14TH AVE,Fairview,501319,5147624
Break and Enter Commercial,2012,9,28,4,20,20XX COMMERCIAL DR,Grandview-Woodland,505354,5121386
Break and Enter Commercial,2007,3,22,4,20,20XX DUNDAS ST,Grandview-Woodland,505162,5449400
Break and Enter Commercial,2015,1,28,4,19,20XX NELSON ST,West End,503914,5289525
Break and Enter Commercial,2008,2,25,4,19,14XX COMOX ST,West End,504588,5139475
Vehicle Collision or Pedestrian Struck (with Injury),2014,11,23,4,19,ALBERNI ST / CARDERO ST,West End,501218,5337565
Break and Enter Commercial,2008,9,19,4,16,20XX DUNDAS ST,Grandview-Woodland,510874,5087342
Break and Enter Commercial,2018,1,16,4,15,20XX COMOX ST,West End,496308,5085944
Break and Enter Commercial,2005,2,21,4,15,6X E 2ND AVE,Mount Pleasant,500482,5327328
Vehicle Collision or Pedestrian Struck (with Fatality),2007,7,6,4,15,17XX BLOCK E 49TH AVE,Victoria-Fraserview,502782,5018524
Break and Enter Commercial,2013,7,3,4,15,69XX VICTORIA DR,Victoria-Fraserview,496982,5077369
Break and Enter Commercial,2015,9,26,4,14,20XX COMOX ST,West End,505090,5414767
Break and Enter Residential/Other,2011,6,21,4,14,11XX BURNABY ST,West End,509763,5210539
Vehicle Collision or Pedestrian Struck (with Injury),2018,4,29,4,13,9XX BLOCK E 41ST AVE,Sunset,499936,5246988
Break and Enter Commercial,2015,6,25,4,12,10XX BEACH AVE,West End,507012,5214730
Break and Enter Commercial,2019,8,27,4,12,10XX ALBERNI ST,West End,495182,5318164
Break and Enter Commercial,2019,6,20,4,12,6X KEEFER PL,Central Business District,504141,5038084
Vehicle Collision or Pedestrian Struck (with Fatality),2012,6,25,4,12,E HASTINGS ST / JACKSON AVE,Strathcona,502998,5157861
Break and Enter Commercial,2007,7,5,4,12,20XX COMMERCIAL DR,Grandview-Woodland,502636,5348827
Vehicle Collision or Pedestrian Struck (with Injury),2018,1,16,4,11,ABBOTT ST / W CORDOVA ST,Central Business District,511150,5196641
Break and Enter Commercial,2015,6,23,4,10,20XX W 41ST AVE,Shaughnessy,495746,5296606
Mischief,2003,9,8,4,10,10XX BARCLAY ST,West End,498541,5292613
Break and Enter Commercial,2011,4,27,4,10,6X E CORDOVA ST,Central Business District,508569,5273077
Break and Enter Commercial,2019,12,27,4,9,20XX COMOX ST,West End,494619,5260329
Break and Enter Commercial,2017,12,8,4,8,14XX E PENDER ST,Grandview-Woodland,493629,5419345
Break and Enter Commercial,2014,5,12,4,7,20XX DUNDAS ST,Grandview-Woodland,499473,5461484
Vehicle Collision or Pedestrian Struck (with Injury),2016,6,26,4,5,8XX BLOCK SEYMOUR ST,Central Business District,494529,5413690
Mischief,2016,12,25,4,4,10XX BURRARD ST,West End,491174,5168234
Break and Enter Commercial,2004,10,10,4,4,20XX QUEBEC ST,Mount Pleasant,510224,5364677
Mischief,2019,2,3,4,4,0K E CORDOVA ST,Strathcona,507536,5331652
Break and Enter Commercial,2013,2,17,4,4,14XX E 7TH AVE,Grandview-Woodland,493996,5070025
Vehicle Collision or Pedestrian Struck (with Fatality),2005,12,23,4,4,19XX BLOCK E 41ST AVE,Victoria-Fraserview,494927,5393364
Break and Enter Commercial,2010,3,3,4,3,20XX DUNDAS ST,Grandview-Woodland,506458,5176053
Break and Enter Commercial,2012,5,5,4,0,20XX CORNWALL AVE,Kitsilano,502731,5374153
Break and Enter Commercial,2003,12,23,4,0,14XX CREEKSIDE DR,Fairview,495273,5098087
Mischief,2011,5,30,4,0,10XX BIDWELL ST,West End,494220,5347491
Theft from Vehicle,2010,4,29,4,0,13XX W 37TH AVE,Shaughnessy,491875,5029328
Theft from Vehicle,2014,10,23,4,0,13XX W 49TH AVE,Oakridge,492967,5084277
Break and Enter Residential/Other,2003,12,3,4,0,11XX BEACH AVE,West End,510935,5229692
Theft from Vehicle,2003,9,5,4,0,13XX W 49TH AVE,Oakridge,494543,5113188
Vehicle Collision or Pedestrian Struck (with Fatality),2003,8,16,4,0,13XX BLOCK W 15TH AVE,Shaughnessy,506008,5264495
Theft from Vehicle,2019,5,18,4,0,13XX W 37TH AVE,Shaughnessy,506898,5212379
Theft from Vehicle,2004,2,1,4,0,13XX W 4TH AVE,Fairview,509970,5185728
Theft from Vehicle,2019,6,2,4,0,13XX W 4TH AVE,Fairview,509112,5080749
Theft from Vehicle,2011,1,29,4,0,13XX W 13TH AVE,Fairview,493873,5032694
Mischief,2015,2,14,4,0,10XX BEACH AVE,West End,503456,5225736
Break and Enter Commercial,2013,8,23,4,0,10XX BEACH AVE,Central Business District,498847,5184203
Mischief,2005,3,2,4,0,10XX BEACH AVE,Central Business District,509339,5253939
Break and Enter Commercial,2004,12,4,4,0,10XX BEACH AVE,Central Business District,499025,5205411
Break and Enter Residential/Other,2010,4,7,4,0,11XX BURNABY ST,West End,507771,5040680
Break and Enter Residential/Other,2003,3,11,4,0,10XX WOLFE AVE,Shaughnessy,505665,5355005
Other Theft,2004,7,23,4,0,12XX GRANVILLE ST,Central Business District,501505,5251537
Mischief,2014,8,14,4,0,10XX BURRARD ST,West End,490906,5085903
Mischief,2020,2,17,4,0,10XX ALBERNI ST,West End,500987,5379747
Break and Enter Commercial,2008,4,2,4,0,10XX ALBERNI ST,West End,494371,5161911
Break and Enter Commercial,2004,7,27,4,0,10XX ALBERNI ST,West End,510279,5070750
Break and Enter Commercial,2006,12,9,4,0,6X W 7TH AVE,Mount Pleasant,501391,5150606
Theft of Bicycle,2015,7,20,4,0,E 30TH AVE / ONTARIO ST,Riley Park,501857,5036314
Break and Enter Commercial,2013,10,10,4,0,66XX MAIN ST,Sunset,507445,5431288
Theft of Bicycle,2017,9,19,4,0,E 8TH AVE / KINGSWAY AVE,Mount Pleasant,510234,5292448
Break and Enter Commercial,2016,6,3,4,0,2XX E GEORGIA ST,Strathcona,509591,5381211
Break and Enter Commercial,2013,10,30,4,0,66XX FRASER ST,Sunset,501352,5352374
Theft of Vehicle,2009,7,17,4,0,E 19TH AVE / PRINCE ALBERT ST,Kensington-Cedar Cottage,501345,5376376
Break and Enter Residential/Other,2003,5,1,4,0,11XX E 53RD AVE,Sunset,506228,5035137
Break and Enter Residential/Other,2017,11,10,4,0,11XX E 27TH AVE,Kensington-Cedar Cottage,500660,5070107
Theft of Vehicle,2006,10,30,4,0,E 22ND AVE / KNIGHT ST,Kensington-Cedar Cottage,498998,5152021
Break and Enter Commercial,2013,10,22,4,0,14XX E BROADWAY AVE,Grandview-Woodland,506460,5322343
Theft of Vehicle,2015,5,8,4,0,E 10TH AVE / VICTORIA DR,Kensington-Cedar Cottage,499198,5343834
Break and Enter Commercial,2003,4,14,4,0,20XX DUNDAS ST,Grandview-Woodland,492179,5361358
Theft of Bicycle,2018,11,13,4,0,E HASTINGS ST / LAKEWOOD DR,Grandview-Woodland,503789,5207674
Theft of Vehicle,2015,1,2,4,0,E 24TH AVE / KAMLOOPS ST,Renfrew-Collingwood,501258,5291314
Break and Enter Commercial,2004,9,12,5,59,6X W 3RD AVE,Mount Pleasant,500677,5169912
Break and Enter Residential/Other,2008,4,2,5,57,11XX CARDERO ST,West End,494419,5000799
Theft from Vehicle,2013,10,18,5,57,13XX W 46TH AVE,Oakridge,509991,5435970
Break and Enter Commercial,2003,12,25,5,55,10XX BEACH AVE,West End,499141,5066168
Break and Enter Commercial,2005,3,31,5,55,10XX BEACH AVE,Central Business District,510542,5456873
Vehicle Collision or Pedestrian Struck (with Fatality),2006,7,1,5,55,1XX W CORDOVA ST,Central Business District,507169,5274720
Break and Enter Residential/Other,2004,10,3,5,55,11XX E 61ST AVE,Sunset,496090,5119828
Mischief,2019,7,26,5,54,10XX BEACH AVE,West End,504449,5059361
Break and Enter Residential/Other,2018,5,16,5,54,11XX CONNAUGHT DR,Shaughnessy,496081,5164279
Break and Enter Commercial,2004,8,28,5,54,66XX FRASER ST,Sunset,508316,5174912
Break and Enter Residential/Other,2018,3,7,5,53,11XX E 7TH AVE,Mount Pleasant,500359,5269280
Other Theft,2015,1,30,5,51,12XX GRANVILLE ST,Central Business District,494343,5311724
Break and Enter Commercial,2016,1,26,5,50,20XX W 41ST AVE,Kerrisdale,507246,5221501
Break and Enter Commercial,2016,10,9,5,50,10XX BURNABY ST,West End,502270,5183922
Mischief,2004,8,31,5,50,10XX BURRARD ST,West End,497679,5160265
Break and Enter Commercial,2014,4,17,5,50,10XX ALBERNI ST,West End,491266,5282461
Theft of Vehicle,2008,4,2,5,50,E 24TH AVE / INVERNESS ST,Kensington-Cedar Cottage,500605,5428242
Mischief,2005,12,16,5,48,19XX W 4TH AVE,Kitsilano,510930,5125849
Break and Enter Commercial,2003,3,18,5,48,17XX W 8TH AVE,Fairview,497000,5037823
Theft from Vehicle,2017,7,2,5,47,13XX W 26TH AVE,Shaughnessy,490388,5143974
Break and Enter Commercial,2019,11,14,5,46,10XX BEACH AVE,Central Business District,491657,5391192
